"행정구역","2018년_계_총인구수","2018년_계_연령구간인구수","2018년_계_0~9세","2018년_남_총인구수","2018년_남_연령구간인구수","2018년_남_0~9세","2018년_여_총인구수","2018년_여_연령구간인구수","2018년_여_0~9세","2019년_계_총인구수","2019년_계_연령구간인구수","2019년_계_0~9세","2019년_남_총인구수","2019년_남_연령구간인구수","2019년_남_0~9세","2019년_여_총인구수","2019년_여_연령구간인구수","2019년_여_0~9세","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_0~9세","2020년_남_총인구수","2020년_남_연령구간인구수","2020년_남_0~9세","2020년_여_총인구수","2020년_여_연령구간인구수","2020년_여_0~9세"
"전국  (0000000000)","51,826,059","4,303,062","4,303,062","25,866,129","2,208,857","2,208,857","25,959,930","2,094,205","2,094,205","51,849,861","4,166,914","4,166,914","25,864,816","2,138,215","2,138,215","25,985,045","2,028,699","2,028,699","51,829,023","3,970,070","3,970,070","25,841,029","2,035,712","2,035,712","25,987,994","1,934,358","1,934,358"
"서울특별시  (1100000000)","9,765,623","690,368","690,368","4,773,899","353,981","353,981","4,991,724","336,387","336,387","9,729,107","662,693","662,693","4,744,059","340,334","340,334","4,985,048","322,359","322,359","9,668,465","623,745","623,745","4,701,723","320,275","320,275","4,966,742","303,470","303,470"
"부산광역시  (2600000000)","3,441,453","251,442","251,442","1,692,421","129,189","129,189","1,749,032","122,253","122,253","3,413,841","243,321","243,321","1,675,417","124,927","124,927","1,738,424","118,394","118,394","3,391,946","232,356","232,356","1,661,000","119,173","119,173","1,730,946","113,183","113,183"
"대구광역시  (2700000000)","2,461,769","194,953","194,953","1,219,342","99,981","99,981","1,242,427","94,972","94,972","2,438,031","188,312","188,312","1,205,286","96,593","96,593","1,232,745","91,719","91,719","2,418,346","178,226","178,226","1,193,109","91,285","91,285","1,225,237","86,941","86,941"
"인천광역시  (2800000000)","2,954,642","251,301","251,301","1,481,844","128,889","128,889","1,472,798","122,412","122,412","2,957,026","242,400","242,400","1,482,249","124,383","124,383","1,474,777","118,017","118,017","2,942,828","228,634","228,634","1,473,943","117,356","117,356","1,468,885","111,278","111,278"
"광주광역시  (2900000000)","1,459,336","131,277","131,277","722,581","67,673","67,673","736,755","63,604","63,604","1,456,468","126,519","126,519","720,740","65,084","65,084","735,728","61,435","61,435","1,450,062","119,692","119,692","717,348","61,487","61,487","732,714","58,205","58,205"
"대전광역시  (3000000000)","1,489,936","128,497","128,497","744,338","66,139","66,139","745,598","62,358","62,358","1,474,870","121,829","121,829","736,607","62,600","62,600","738,263","59,229","59,229","1,463,882","114,529","114,529","730,699","58,822","58,822","733,183","55,707","55,707"
"울산광역시  (3100000000)","1,155,623","108,363","108,363","593,819","55,907","55,907","561,804","52,456","52,456","1,148,019","104,371","104,371","589,712","53,757","53,757","558,307","50,614","50,614","1,136,017","98,506","98,506","583,708","50,619","50,619","552,309","47,887","47,887"
"세종특별자치시  (3600000000)","314,126","44,452","44,452","156,831","22,778","22,778","157,295","21,674","21,674","340,575","47,249","47,249","169,845","24,152","24,152","170,730","23,097","23,097","355,831","47,283","47,283","177,568","24,188","24,188","178,263","23,095","23,095"
"경기도  (4100000000)","13,077,153","1,209,856","1,209,856","6,577,501","620,423","620,423","6,499,652","589,433","589,433","13,239,666","1,184,990","1,184,990","6,659,995","607,414","607,414","6,579,671","577,576","577,576","13,427,014","1,145,984","1,145,984","6,754,469","586,787","586,787","6,672,545","559,197","559,197"
"강원도  (4200000000)","1,543,052","112,664","112,664","776,456","57,639","57,639","766,596","55,025","55,025","1,541,502","109,556","109,556","775,386","56,078","56,078","766,116","53,478","53,478","1,542,840","105,598","105,598","776,505","54,030","54,030","766,335","51,568","51,568"
"충청북도  (4300000000)","1,599,252","133,659","133,659","808,971","68,290","68,290","790,281","65,369","65,369","1,600,007","129,285","129,285","810,384","66,062","66,062","789,623","63,223","63,223","1,600,837","123,371","123,371","811,591","63,068","63,068","789,246","60,303","60,303"
"충청남도  (4400000000)","2,126,282","189,024","189,024","1,082,009","96,905","96,905","1,044,273","92,119","92,119","2,123,709","181,907","181,907","1,081,938","93,227","93,227","1,041,771","88,680","88,680","2,121,029","172,628","172,628","1,082,634","88,428","88,428","1,038,395","84,200","84,200"
"전라북도  (4500000000)","1,836,832","143,990","143,990","913,297","73,944","73,944","923,535","70,046","70,046","1,818,917","137,083","137,083","904,110","70,300","70,300","914,807","66,783","66,783","1,804,104","128,692","128,692","896,874","66,002","66,002","907,230","62,690","62,690"
"전라남도  (4600000000)","1,882,970","145,246","145,246","943,000","74,202","74,202","939,970","71,044","71,044","1,868,745","139,429","139,429","937,674","71,185","71,185","931,071","68,244","68,244","1,851,549","132,202","132,202","930,615","67,356","67,356","920,934","64,846","64,846"
"경상북도  (4700000000)","2,676,831","207,609","207,609","1,346,689","107,358","107,358","1,330,142","100,251","100,251","2,665,836","200,184","200,184","1,342,037","103,223","103,223","1,323,799","96,961","96,961","2,639,422","189,561","189,561","1,329,211","97,729","97,729","1,310,211","91,832","91,832"
"경상남도  (4800000000)","3,373,988","296,642","296,642","1,697,412","152,735","152,735","1,676,576","143,907","143,907","3,362,553","285,500","285,500","1,692,032","146,864","146,864","1,670,521","138,636","138,636","3,340,216","268,766","268,766","1,681,423","138,139","138,139","1,658,793","130,627","130,627"
"제주특별자치도  (5000000000)","667,191","63,719","63,719","335,719","32,824","32,824","331,472","30,895","30,895","670,989","62,286","62,286","337,345","32,032","32,032","333,644","30,254","30,254","674,635","60,297","60,297","338,609","30,968","30,968","336,026","29,329","29,329"
