사용일,라인,역명,유임승차,무임승차,유임하차,무임하차
201501,4호선,삼각지,138257,178987,32268,36116
201501,4호선,신용산,343494,370255,53325,53531
201501,4호선,이촌,257256,283880,42962,45709
201501,4호선,동작,47701,50075,17183,16453
201501,4호선,총신대입구,550301,619606,134289,142082
201501,4호선,사당,904059,707117,94305,95537
201501,4호선,남태령,24889,19409,7328,7020
201501,5호선,방화,170436,162264,42096,40617
201501,5호선,개화산,139625,127500,31067,28554
201501,5호선,김포공항,217576,190713,32400,31602
201501,5호선,송정,252777,244999,61731,64795
201501,5호선,마곡,75941,61823,13796,12876
201501,5호선,발산,263319,266566,50891,49003
201501,5호선,우장산,387595,374825,70113,71935
201501,5호선,화곡,731835,666404,128234,123340
201501,5호선,까치산,741502,697076,142229,142878
201501,5호선,신정,368673,288509,52837,51294
201501,5호선,목동,496167,520857,79840,81916
201501,5호선,오목교,708533,758129,81341,78372
201501,5호선,양평,153883,156795,27602,28005
201501,5호선,영등포구청,78720,80510,19017,18929
201501,5호선,영등포시장,164977,184503,73525,73848
201501,5호선,신길,74933,86829,10085,11067
201501,5호선,여의도,600408,659127,52358,50497
201501,5호선,여의나루,184361,200101,25765,25828
201501,5호선,마포,358222,381433,60592,60274
201501,5호선,공덕,342973,367506,46445,43196
201501,5호선,애오개,142028,147647,35487,34355
201501,5호선,충정로,117793,121686,15852,16941
201501,5호선,서대문,404720,421410,72621,69741
201501,5호선,광화문,978250,1023190,80502,78144
201501,5호선,종로3가,310056,306973,122664,126028
201501,5호선,을지로4가,108326,120126,38284,36275
201501,5호선,동대문역사문화공원,81161,98024,15450,16768
201501,5호선,청구,117400,109441,28903,23114
201501,5호선,신금호,121268,119102,32373,37016
201501,5호선,행당,204096,177160,45819,41341
201501,5호선,왕십리,129382,162406,24926,23811
201501,5호선,마장,137233,132012,44712,44100
201501,5호선,답십리,416720,379733,80274,78027
201501,5호선,장한평,456953,458138,91710,93189
201501,5호선,군자,280180,312276,34096,38015
201501,5호선,아차산,343266,328964,85845,77697
201501,5호선,광나루,385706,339154,60838,59262
201501,5호선,천호,533087,569031,146778,155819
201501,5호선,강동,493274,408354,89795,79359
201501,5호선,길동,172893,185513,51247,53098
201501,5호선,굽은다리,229279,218496,56479,51190
201501,5호선,명일,220767,217639,60001,61077
201501,5호선,고덕,191201,192150,54001,52006
201501,5호선,상일동,298972,241620,64306,61794
201501,5호선,둔촌동,319524,320434,71773,75271
201501,5호선,올림픽공원,151918,149429,26627,22394
201501,5호선,방이,172049,174538,39644,39932
201501,5호선,오금,96204,97412,16515,16019
201501,5호선,개롱,165615,163872,39294,40107
201501,5호선,거여,165380,153365,47038,44320
201501,5호선,마천,126745,127278,48719,53013
201501,6호선,응암,409940,396462,97545,96220
201501,6호선,역촌,77928,95553,30042,28579
201501,6호선,불광,134228,129665,36514,28685
201501,6호선,독바위,64212,68735,18596,22213
201501,6호선,연신내,15,0,1,0
201501,6호선,구산,176369,122240,48038,49655
201501,6호선,새절,305071,284002,75017,76498
201501,6호선,증산,244352,226314,65797,64899
201501,6호선,디지털미디어시티,389623,430057,59132,59486
201501,6호선,월드컵경기장,138988,148372,47890,47186
201501,6호선,마포구청,323986,278397,77747,73056
201501,6호선,망원,275664,295316,75776,80506
201501,6호선,합정,282876,318906,31161,32533
201501,6호선,상수,274861,317653,21312,21990
201501,6호선,광흥창,219854,212708,56453,54928
201501,6호선,대흥,197493,209604,42504,43218
201501,6호선,공덕,442052,437596,70392,66601
201501,6호선,효창공원앞,185346,177165,45567,44271
201501,6호선,삼각지,212421,163731,20578,16680
201501,6호선,녹사평(용산구청),185728,207358,20373,20124
201501,6호선,이태원,440702,491386,37665,39531
201501,6호선,한강진,162521,195328,13043,12881
201501,6호선,버티고개,58853,55563,13682,15376
201501,6호선,약수,85275,87842,20939,18194
201501,6호선,청구,63070,72605,12018,17004
201501,6호선,신당,207825,209011,35934,35609
201501,6호선,동묘앞,204664,207291,66119,61282
201501,6호선,창신,74004,57216,16514,15496
201501,6호선,보문,206531,180504,35848,34247
201501,6호선,안암,316312,323225,31472,30533
201501,6호선,고려대,232348,223012,34925,34926
201501,6호선,월곡,285821,269488,67784,68214
201501,6호선,상월곡,144203,126452,36727,35828
201501,6호선,돌곶이,223433,199882,53478,53426
201501,6호선,석계,317989,318451,68601,69320
201501,6호선,태릉입구,123844,139429,24748,24822
201501,6호선,화랑대,317687,234766,42307,38815
201501,6호선,봉화산(서울의료원),233041,216740,48425,47806
201501,7호선,장암,64946,20964,7004,4093
201501,7호선,도봉산,283789,260203,56736,57391
201501,7호선,수락산,341474,326733,82121,82158
201501,7호선,마들,280914,254947,68570,65090
201501,7호선,노원,552067,599232,108082,108782
201501,7호선,중계,365564,324633,86053,83481
201501,7호선,하계,505749,473307,98730,92927
201501,7호선,공릉,296356,293571,62915,63273
201501,7호선,태릉입구,206621,190896,35383,32033
201501,7호선,먹골,255619,243775,54008,54423
201501,7호선,중화,299994,282627,58190,56700
201501,7호선,상봉,471891,437811,67272,63490
201501,7호선,면목,366354,346993,76811,77902
201501,7호선,사가정,409635,393489,85551,85011
201501,7호선,용마산,146433,134395,33505,35796
201501,7호선,중곡,239457,214682,57854,59393
201501,7호선,군자,370450,276574,72679,55972
