지점,지점명,관리관서
90,속초,강원지방기상청
93,북춘천,춘천기상대
95,철원,강원지방기상청
98,동두천,수도권기상청
99,파주,수도권기상청
100,대관령,강원지방기상청
101,춘천,춘천기상대
102,백령도,수도권기상청
104,북강릉,강원지방기상청
105,강릉,강원지방기상청
106,동해,강원지방기상청
108,서울,수도권기상청
112,인천,수도권기상청
114,원주,강원지방기상청
115,울릉도,대구지방기상청
119,수원,수도권기상청
121,영월,강원지방기상청
127,충주,청주기상지청
129,서산,홍성기상대
130,울진,안동기상대
131,청주,청주기상지청
133,대전,대전지방기상청
135,추풍령,청주기상지청
136,안동,안동기상대
137,상주,대구지방기상청
138,포항,대구지방기상청
140,군산,전주기상지청
143,대구,대구지방기상청
146,전주,전주기상지청
152,울산,울산기상대
155,창원,창원기상대
156,광주,광주지방기상청
159,부산,부산지방기상청
162,통영,부산지방기상청
165,목포,목포기상대
168,여수,광주지방기상청
169,흑산도,광주지방기상청
170,완도,목포기상대
172,고창,전주기상지청
174,순천,광주지방기상청
177,홍성,홍성기상대
184,제주,제주지방기상청
185,고산,제주지방기상청
188,성산,제주지방기상청
189,서귀포,제주지방기상청
192,진주,창원기상대
201,강화,인천기상대
202,양평,수도권기상청
203,이천,수도권기상청
211,인제,강원지방기상청
212,홍천,춘천기상대
216,태백,강원지방기상청
217,정선군,강원지방기상청
221,제천,청주기상지청
226,보은,청주기상지청
232,천안,대전지방기상청
235,보령,대전지방기상청
236,부여,대전지방기상청
238,금산,대전지방기상청
239,세종,대전지방기상청
243,부안,전주기상지청
244,임실,전주기상지청
245,정읍,전주기상지청
247,남원,전주기상지청
248,장수,전주기상지청
251,고창군,전주기상지청
252,영광군,광주지방기상청
253,김해시,부산지방기상청
254,순창군,전주기상지청
255,북창원,창원기상대
257,양산시,울산기상대
258,보성군,광주지방기상청
259,강진군,목포기상대
260,장흥,목포기상대
261,해남,목포기상대
262,고흥,광주지방기상청
263,의령군,창원기상대
264,함양군,창원기상대
266,광양시,광주지방기상청
268,진도군,목포기상대
271,봉화,대구지방기상청
272,영주,안동기상대
273,문경,안동기상대
276,청송군,대구지방기상청
277,영덕,대구지방기상청
278,의성,대구지방기상청
279,구미,대구지방기상청
281,영천,대구지방기상청
283,경주시,대구지방기상청
284,거창,울산기상대
285,합천,울산기상대
288,밀양,울산기상대
289,산청,창원기상대
294,거제,부산지방기상청
295,남해,부산지방기상청
